stock_code,period_key,rcept_no,rcept_dt,account_family,selection_status,table_index,row_index,primary_row_label,selected_column,raw_numeric_value,unit_hint,selected_value_krw,total_score,label_score,context_score,column_score,heading_context,row_text
000030,반기보고서_(2018.06),20180814002502,2018-08-14,net_income,selected,267.0,15.0,V. 당기순이익,2018년 반기중 | 제185기 반기,1316316.0,백만원,1316316000000.0,68.0,30.0,25.0,13.0,(단위:백만원) || (주식회사 우리은행과 종속기업),V. 당기순이익 | 1316316 | 1109015 | 1530088 | 1277533
000030,반기보고서_(2018.06),20180814002502,2018-08-14,revenue,selected,137.0,1.0,영업수익,2018년 6월 (제6기 반기),9447.0,억원,944700000000.0,49.0,30.0,0.0,19.0,(단위 : 억원) || (단위 : 억원) || 가.영업실적,영업수익 | 9447 | 17670 | 15515
000030,반기보고서_(2018.06),20180814002502,2018-08-14,operating_income,selected,267.0,0.0,I. 영업이익,2018년 반기중 | 제185기 반기,1807715.0,백만원,1807715000000.0,68.0,30.0,25.0,13.0,(단위:백만원) || (주식회사 우리은행과 종속기업),I. 영업이익 | 1807715 | 1484228 | 2156742 | 1574206
000030,반기보고서_(2018.06),20180814002502,2018-08-14,equity,selected,265.0,43.0,자본총계,2018년 반기말 | 제 185기 반기,20996611.0,백만원,20996611000000.0,102.0,30.0,47.0,25.0,(단위:백만원) || (주식회사 우리은행과 종속기업) || (1) 요약연결재무상태표 || (1) 요약연결재무상태표 || 가. 요약연결재무정보,자본총계 | 20996611 | 20564900 | 20545953
000030,반기보고서_(2018.06),20180814002502,2018-08-14,assets,selected,265.0,20.0,자산총계,2018년 반기말 | 제 185기 반기,326561330.0,백만원,326561330000000.0,102.0,30.0,47.0,25.0,(단위:백만원) || (주식회사 우리은행과 종속기업) || (1) 요약연결재무상태표 || (1) 요약연결재무상태표 || 가. 요약연결재무정보,자산총계 | 326561330 | 316295461 | 310682727
000030,반기보고서_(2018.06),20180814002502,2018-08-14,liabilities,selected,265.0,34.0,부채총계,2018년 반기말 | 제 185기 반기,305564719.0,백만원,305564719000000.0,102.0,30.0,47.0,25.0,(단위:백만원) || (주식회사 우리은행과 종속기업) || (1) 요약연결재무상태표 || (1) 요약연결재무상태표 || 가. 요약연결재무정보,부채총계 | 305564719 | 295730561 | 290136774
000060,반기보고서_(2020.06),20200814001271,2020-08-14,net_income,selected,75.0,4.0,[당기순이익],제 100기 반기,213404.0,백만원,213404000000.0,35.0,30.0,0.0,5.0,(단위 : 백만원),[당기순이익] | 213404 | 271182 | 260043
000060,반기보고서_(2020.06),20200814001271,2020-08-14,revenue,selected,82.0,0.0,Ⅰ. 영업수익,당반기 | 누적,5592241326173.0,원,5592241326173.0,87.0,30.0,25.0,32.0,(단위 : 원) || 메리츠화재해상보험주식회사와 그 종속기업 || 06월 30일까지 || 01일부터 2019년 || 01월 || 반기 2019년 || 제 99 기,Ⅰ. 영업수익 | nan | 2711119012136 | 5592241326173 | 2451652402676 | 4785346415612
000060,반기보고서_(2020.06),20200814001271,2020-08-14,operating_income,selected,82.0,24.0,Ⅲ. 영업이익,당반기 | 누적,292504882891.0,원,292504882891.0,87.0,30.0,25.0,32.0,(단위 : 원) || 메리츠화재해상보험주식회사와 그 종속기업 || 06월 30일까지 || 01일부터 2019년 || 01월 || 반기 2019년 || 제 99 기,Ⅲ. 영업이익 | nan | 146220101537 | 292504882891 | 117626192991 | 218350346531
000060,반기보고서_(2020.06),20200814001271,2020-08-14,assets,no_reliable_candidate,,,,,,,,,,,,,
000060,반기보고서_(2020.06),20200814001271,2020-08-14,liabilities,no_reliable_candidate,,,,,,,,,,,,,
000060,반기보고서_(2020.06),20200814001271,2020-08-14,equity,no_reliable_candidate,,,,,,,,,,,,,
000060,반기보고서_(2020.06),20210115000067,2021-01-15,net_income,selected,81.0,4.0,[당기순이익],제 100기 반기,213404.0,백만원,213404000000.0,35.0,30.0,0.0,5.0,(단위 : 백만원),[당기순이익] | 213404 | 271182 | 260043
000060,반기보고서_(2020.06),20210115000067,2021-01-15,revenue,selected,88.0,0.0,Ⅰ. 영업수익,당반기 | 누적,5592241326173.0,원,5592241326173.0,87.0,30.0,25.0,32.0,(단위 : 원) || 메리츠화재해상보험주식회사와 그 종속기업 || 06월 30일까지 || 01일부터 2019년 || 01월 || 반기 2019년 || 제 99 기,Ⅰ. 영업수익 | nan | 2711119012136 | 5592241326173 | 2451652402676 | 4785346415612
000060,반기보고서_(2020.06),20210115000067,2021-01-15,operating_income,selected,88.0,24.0,Ⅲ. 영업이익,당반기 | 누적,292504882891.0,원,292504882891.0,87.0,30.0,25.0,32.0,(단위 : 원) || 메리츠화재해상보험주식회사와 그 종속기업 || 06월 30일까지 || 01일부터 2019년 || 01월 || 반기 2019년 || 제 99 기,Ⅲ. 영업이익 | nan | 146220101537 | 292504882891 | 117626192991 | 218350346531
000060,반기보고서_(2020.06),20210115000067,2021-01-15,assets,no_reliable_candidate,,,,,,,,,,,,,
000060,반기보고서_(2020.06),20210115000067,2021-01-15,liabilities,no_reliable_candidate,,,,,,,,,,,,,
000060,반기보고서_(2020.06),20210115000067,2021-01-15,equity,no_reliable_candidate,,,,,,,,,,,,,
