BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20210805,095570,AJ네트웍스,KOSPI,,6030,70,1.17,5960,6070,5950,62325,375042150,282338438850,46822295
20210805,006840,AK홀딩스,KOSPI,,27700,-150,-0.54,27900,28100,27550,18884,526097000,366957439700,13247561
20210805,027410,BGF,KOSPI,,6240,20,0.32,6220,6270,6200,90503,563081670,597272775840,95716791
20210805,282330,BGF리테일,KOSPI,,170000,0,0.00,170000,171000,168500,25632,4341944500,2938264020000,17283906
20210805,138930,BNK금융지주,KOSPI,,7690,-110,-1.41,7760,7800,7690,984672,7601144160,2506442041740,325935246
20210805,001460,BYC,KOSPI,,399000,-1000,-0.25,399000,400000,397500,254,101329000,249221385000,624615
20210805,001465,BYC우,KOSPI,,180000,500,0.28,179000,180500,178500,46,8266000,38769300000,215385
20210805,001040,CJ,KOSPI,,101500,-2000,-1.93,102500,103000,101500,71126,7268567500,2961465297000,29176998
20210805,079160,CJ CGV,KOSPI,,30400,0,0.00,30100,30600,30100,229654,6969865400,1117442166400,36757966
20210805,00104K,CJ4우(전환),KOSPI,,85800,-300,-0.35,86200,86200,85100,4463,381643100,362634729600,4226512
20210805,000120,CJ대한통운,KOSPI,,183000,6500,3.68,176500,183000,174500,49068,8826798000,4174658952000,22812344
20210805,011150,CJ씨푸드,KOSPI,,4630,5,0.11,4630,4655,4615,195774,906250010,166359478990,35930773
20210805,011155,CJ씨푸드1우,KOSPI,,41850,650,1.58,41200,41850,40550,302,12404500,8370000000,200000
20210805,001045,CJ우,KOSPI,,63400,-200,-0.31,63700,64500,62400,3022,189744100,143298138200,2260223
20210805,097950,CJ제일제당,KOSPI,,487000,-5500,-1.12,492000,492000,485000,34149,16679144500,7331388582000,15054186
20210805,097955,CJ제일제당 우,KOSPI,,218000,-500,-0.23,218500,220000,216500,3263,712914000,289380394000,1327433
20210805,000590,CS홀딩스,KOSPI,,67000,400,0.60,66600,67100,66500,1097,73129100,77350294000,1154482
20210805,012030,DB,KOSPI,,1150,-30,-2.54,1180,1195,1130,2508025,2905839825,231350022950,201173933
20210805,016610,DB금융투자,KOSPI,,6930,40,0.58,6850,6930,6850,66663,459628640,294153475770,42446389
20210805,005830,DB손해보험,KOSPI,,59000,200,0.34,58300,59600,58300,103620,6130284600,4177200000000,70800000
20210805,000990,DB하이텍,KOSPI,,66300,-300,-0.45,66700,67200,65700,633490,41969281900,2943626384400,44398588
20210805,000995,DB하이텍1우,KOSPI,,116000,1000,0.87,115000,116000,113500,322,36671000,13028656000,112316
20210805,139130,DGB금융지주,KOSPI,,9300,-60,-0.64,9370,9380,9220,450057,4179019680,1573056246900,169145833
20210805,001530,DI동일,KOSPI,,311000,-2500,-0.80,313000,319500,306000,26925,8404127500,780813705000,2510655
20210805,000210,DL,KOSPI,,77000,-500,-0.65,77200,77600,76600,144670,11125614000,1613603068000,20955884
20210805,001880,DL건설,KOSPI,,33150,300,0.91,33000,33150,32900,29305,967982700,731066364600,22053284
20210805,000215,DL우,KOSPI,,45300,0,0.00,45500,45500,45150,2698,122131750,76381009500,1686115
20210805,375500,DL이앤씨,KOSPI,,145000,0,0.00,145000,147000,144500,106179,15423614500,2807017010000,19358738
20210805,37550K,DL이앤씨우,KOSPI,,80000,0,0.00,80000,80600,79600,8257,661313900,169110800000,2113885
20210805,004840,DRB동일,KOSPI,,7440,170,2.34,7250,7450,7250,26742,197616450,148279200000,19930000
20210805,155660,DSR,KOSPI,,6440,70,1.10,6400,6460,6330,26866,172280210,103040000000,16000000
20210805,069730,DSR제강,KOSPI,,6240,90,1.46,6110,6280,6090,44300,274235910,89856000000,14400000
20210805,017940,E1,KOSPI,,55400,100,0.18,55300,55600,55000,8911,492942900,380044000000,6860000
20210805,365550,ESR켄달스퀘어리츠,KOSPI,,6910,20,0.29,6950,7030,6890,263229,1825463490,989919690000,143259000
20210805,383220,F&F,KOSPI,,635000,17000,2.75,610000,644000,608000,37908,24005883000,4864998525000,7661415
20210805,007700,F&F홀딩스,KOSPI,,37150,-600,-1.59,37600,37700,37150,36993,1379531750,287488432750,7738585
20210805,114090,GKL,KOSPI,,16350,-100,-0.61,16350,16500,16300,208461,3416633350,1011340204500,61855670
20210805,078930,GS,KOSPI,,43400,-150,-0.34,43250,43500,43050,115089,4973955700,4032527405200,92915378
20210805,006360,GS건설,KOSPI,,43700,-350,-0.79,44000,44150,43650,295712,12963103200,3739911113000,85581490
20210805,001250,GS글로벌,KOSPI,,2820,-20,-0.70,2840,2885,2810,557397,1586817505,232745214480,82533764
20210805,007070,GS리테일,KOSPI,,34350,-950,-2.69,34600,34650,33900,1153020,39476834150,3597060620700,104717922
20210805,078935,GS우,KOSPI,,36400,0,0.00,36500,36500,36200,3332,120950300,64967666400,1784826
20210805,012630,HDC,KOSPI,,12300,50,0.41,12250,12350,12150,162297,1985741600,734823168300,59741721
20210805,039570,HDC아이콘트롤스,KOSPI,,13800,100,0.73,13700,13850,13500,24333,333297200,227148000000,16460000
20210805,089470,HDC현대EP,KOSPI,,5890,10,0.17,5840,5910,5820,69654,408752460,187891000000,31900000
20210805,294870,HDC현대산업개발,KOSPI,,30750,450,1.49,30350,30950,30150,260127,8002252900,2026650397500,65907330
20210805,011200,HMM,KOSPI,,39500,0,0.00,39650,40150,38900,3402658,134351238850,16013003236500,405392487
20210805,082740,HSD엔진,KOSPI,,8370,60,0.72,8330,8440,8230,220159,1835226620,391056829020,46721246
20210805,003560,IHQ,KOSPI,,1825,-20,-1.08,1845,1850,1815,782026,1427785210,266880240100,146235748
20210805,175330,JB금융지주,KOSPI,,7620,-50,-0.65,7700,7700,7550,398434,3032585950,1501009652280,196982894
20210805,234080,JW생명과학,KOSPI,,18600,100,0.54,18500,18600,18400,18418,341249200,294522704400,15834554
20210805,001060,JW중외제약,KOSPI,,29300,200,0.69,29250,29400,29000,45750,1339011950,631119831800,21539926
20210805,001067,JW중외제약2우B,KOSPI,,58000,500,0.87,57100,58000,57100,667,38521300,5395624000,93028
20210805,001065,JW중외제약우,KOSPI,,37500,1100,3.02,36400,37500,36400,1085,40030200,6655725000,177486
20210805,096760,JW홀딩스,KOSPI,,4420,10,0.23,4415,4445,4410,33204,146983340,302510024440,68441182
20210805,105560,KB금융,KOSPI,,52000,-700,-1.33,52400,52900,52000,927728,48499948200,21622011840000,415807920
20210805,002380,KCC,KOSPI,,333500,-16000,-4.58,345000,348500,331500,90218,30409397500,2963638078500,8886471
20210805,344820,KCC글라스,KOSPI,,70400,-600,-0.85,70300,71000,69000,163917,11463015900,1124324044800,15970512
20210805,009070,KCTC,KOSPI,,7890,40,0.51,7800,7930,7780,185715,1461134040,236700000000,30000000
20210805,009440,KC그린홀딩스,KOSPI,,6170,-70,-1.12,6250,6260,6110,184242,1135808460,138423826600,22434980
20210805,119650,KC코트렐,KOSPI,,8870,100,1.14,8700,9040,8700,415197,3688383730,156112000000,17600000
20210805,092220,KEC,KOSPI,,2510,60,2.45,2450,2520,2435,2641114,6578224780,292934419400,116706940
20210805,016380,KG동부제철,KOSPI,,16750,-100,-0.59,16700,16850,16600,180601,3015820600,1675149024750,100008897
