BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20240808,095570,AJ네트웍스,KOSPI,,4275,-40,-0.93,4265,4315,4210,52107,221530675,193455544725,45252759
20240808,006840,AK홀딩스,KOSPI,,12950,-50,-0.38,12990,13000,12710,5619,72092820,171555914950,13247561
20240808,027410,BGF,KOSPI,,3585,50,1.41,3530,3585,3490,81554,287268930,343144695735,95716791
20240808,282330,BGF리테일,KOSPI,,113900,1100,0.98,111800,114200,109800,51783,5815890700,1968636893400,17283906
20240808,138930,BNK금융지주,KOSPI,,9480,270,2.93,9130,9560,9120,1487087,13997746360,3053398392240,322088438
20240808,001460,BYC,KOSPI,,32250,-1250,-3.73,33500,33500,32050,823,26845900,201438337500,6246150
20240808,001465,BYC우,KOSPI,,13090,-90,-0.68,12950,13180,12950,633,8253250,28193896500,2153850
20240808,001040,CJ,KOSPI,,121100,3200,2.71,115600,121100,115000,54597,6516363700,3533334457800,29176998
20240808,079160,CJ CGV,KOSPI,,5830,110,1.92,5710,5840,5630,711055,4104601890,965328199330,165579451
20240808,00104K,CJ4우(전환),KOSPI,,86900,1900,2.24,84000,86900,83300,9407,795552600,367283892800,4226512
20240808,000120,CJ대한통운,KOSPI,,99200,1300,1.33,98000,101000,97400,130553,12929033900,2262984524800,22812344
20240808,011150,CJ씨푸드,KOSPI,,3650,-125,-3.31,3700,3750,3580,498640,1825383175,131147321450,35930773
20240808,011155,CJ씨푸드1우,KOSPI,,19860,260,1.33,19600,19860,19600,32,633700,3972000000,200000
20240808,001045,CJ우,KOSPI,,57800,700,1.23,57200,57800,56600,871,49473600,130640889400,2260223
20240808,097950,CJ제일제당,KOSPI,,353500,1500,0.43,348500,353500,345000,24752,8673371000,5321654751000,15054186
20240808,097955,CJ제일제당 우,KOSPI,,149500,400,0.27,149100,150000,145000,1865,277256700,198451233500,1327433
20240808,000480,CR홀딩스,KOSPI,,5760,20,0.35,5820,5820,5650,7290,41578290,270089222400,46890490
20240808,000590,CS홀딩스,KOSPI,,67500,200,0.30,67800,67800,66700,348,23468700,77927535000,1154482
20240808,012030,DB,KOSPI,,1117,-2,-0.18,1119,1119,1092,248024,274645937,224711283161,201173933
20240808,016610,DB금융투자,KOSPI,,4270,20,0.47,4250,4285,4200,23697,100673050,181246081030,42446389
20240808,005830,DB손해보험,KOSPI,,102100,-1200,-1.16,103100,103800,100600,172012,17584361400,7228680000000,70800000
20240808,000990,DB하이텍,KOSPI,,40750,-550,-1.33,41100,41800,40300,601171,24566335150,1809242461000,44398588
20240808,139130,DGB금융지주,KOSPI,,7840,100,1.29,7710,7940,7690,719903,5636516310,1326103330720,169145833
20240808,001530,DI동일,KOSPI,,29800,400,1.36,29300,29800,29100,117113,3458293700,751427025600,25215672
20240808,000210,DL,KOSPI,,44200,-250,-0.56,44450,44850,43500,121790,5352908950,926250072800,20955884
20240808,000215,DL우,KOSPI,,23250,-400,-1.69,23700,23750,23100,2953,68807750,39202173750,1686115
20240808,375500,DL이앤씨,KOSPI,,30850,1650,5.65,29000,30950,28850,340988,10327963650,1193698269550,38693623
20240808,37550L,DL이앤씨2우(전환),KOSPI,,20950,500,2.44,20850,21150,20250,5613,116383600,44245373450,2111951
20240808,37550K,DL이앤씨우,KOSPI,,15750,390,2.54,15410,15790,15100,16107,248966350,33293688750,2113885
20240808,007340,DN오토모티브,KOSPI,,91500,1500,1.67,89000,92200,89000,25844,2360672100,914451457500,9994005
20240808,004840,DRB동일,KOSPI,,4800,-10,-0.21,4810,4850,4710,12090,57783755,95664000000,19930000
20240808,155660,DSR,KOSPI,,4020,-5,-0.12,4020,4030,3980,9801,39253455,64320000000,16000000
20240808,069730,DSR제강,KOSPI,,4045,10,0.25,4040,4075,3970,17335,69927710,58248000000,14400000
20240808,017860,DS단석,KOSPI,,71000,-2500,-3.40,73000,73500,70600,50017,3571371800,416159684000,5861404
20240808,017940,E1,KOSPI,,70200,300,0.43,70700,70700,69200,9153,639754600,481572000000,6860000
20240808,365550,ESR켄달스퀘어리츠,KOSPI,,4895,-75,-1.51,4970,5020,4685,358169,1766738180,1043070655000,213089000
20240808,383220,F&F,KOSPI,,49550,-550,-1.10,49500,50500,48100,123634,6141261950,1898115566250,38307075
20240808,007700,F&F홀딩스,KOSPI,,13270,170,1.30,13000,13350,12990,15925,209750810,519047650090,39114367
20240808,114090,GKL,KOSPI,,11620,130,1.13,11350,11740,11310,186874,2164679180,718762885400,61855670
20240808,078930,GS,KOSPI,,44050,-800,-1.78,44100,44800,43200,188967,8320524200,4092922400900,92915378
20240808,006360,GS건설,KOSPI,,18640,1890,11.28,16680,18780,16560,1812519,32850459480,1595238973600,85581490
20240808,001250,GS글로벌,KOSPI,,3160,-165,-4.96,3255,3340,3145,1840561,5893457100,260806694240,82533764
20240808,007070,GS리테일,KOSPI,,20750,-700,-3.26,21550,21650,20500,364295,7625087950,2172896881500,104717922
20240808,078935,GS우,KOSPI,,41900,-500,-1.18,42100,42600,41200,20157,841596300,74784209400,1784826
20240808,012630,HDC,KOSPI,,10060,730,7.82,9220,10090,9220,326218,3228530760,601001713260,59741721
20240808,039570,HDC랩스,KOSPI,,8350,300,3.73,8000,8350,7950,42223,347450660,216745968350,25957601
20240808,089470,HDC현대EP,KOSPI,,4275,-75,-1.72,4310,4330,4240,124803,534885990,136372500000,31900000
20240808,294870,HDC현대산업개발,KOSPI,,22100,2850,14.81,19100,22500,18900,1348542,28930229010,1456551993000,65907330
20240808,009540,HD한국조선해양,KOSPI,,205500,13500,7.03,189100,206500,187100,658256,131597980900,14543875338000,70773116
20240808,267250,HD현대,KOSPI,,80200,500,0.63,79000,81000,77700,224097,17935688234,6335245417000,78993085
20240808,267270,HD현대건설기계,KOSPI,,52900,-800,-1.49,52700,55300,52600,192877,10367880400,997011378400,18847096
20240808,443060,HD현대마린솔루션,KOSPI,,107100,-8000,-6.95,102500,113600,102100,1030416,111306545300,4760595000000,44450000
20240808,010620,HD현대미포,KOSPI,,111300,4700,4.41,104100,113000,102800,448516,49124626100,4445561183700,39942149
20240808,322000,HD현대에너지솔루션,KOSPI,,22250,150,0.68,22100,22500,21700,56761,1255050500,249200000000,11200000
