BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20210913,095570,AJ네트웍스,KOSPI,,5830,-130,-2.18,5980,5980,5800,133188,780734220,272973979850,46822295
20210913,006840,AK홀딩스,KOSPI,,27150,0,0.00,27000,27200,26250,21725,581595350,359671281150,13247561
20210913,027410,BGF,KOSPI,,6250,-70,-1.11,6270,6350,6230,105306,661320960,598229943750,95716791
20210913,282330,BGF리테일,KOSPI,,179000,-2000,-1.10,183000,183500,177500,23213,4178520500,3093819174000,17283906
20210913,138930,BNK금융지주,KOSPI,,7970,50,0.63,7920,7970,7890,839034,6661342020,2597703910620,325935246
20210913,001460,BYC,KOSPI,,438000,17000,4.04,421000,444000,421000,1732,754948500,273581370000,624615
20210913,001465,BYC우,KOSPI,,175000,3000,1.74,171000,175500,171000,226,39368000,37692375000,215385
20210913,001040,CJ,KOSPI,,104000,0,0.00,103500,105500,102500,81894,8521440500,3034407792000,29176998
20210913,079160,CJ CGV,KOSPI,,31100,-100,-0.32,31100,31550,30850,290403,9067331550,1153322911800,37084338
20210913,00104K,CJ4우(전환),KOSPI,,82000,-3200,-3.76,85100,85600,81400,113156,9306376300,346573984000,4226512
20210913,000120,CJ대한통운,KOSPI,,170000,0,0.00,170000,170000,168500,18376,3112605500,3878098480000,22812344
20210913,011150,CJ씨푸드,KOSPI,,4110,-55,-1.32,4165,4210,4100,108743,450095150,147675477030,35930773
20210913,011155,CJ씨푸드1우,KOSPI,,39000,1000,2.63,38000,39000,38000,368,14351700,7800000000,200000
20210913,001045,CJ우,KOSPI,,62100,-500,-0.80,62800,62800,61600,1602,99206500,140359848300,2260223
20210913,097950,CJ제일제당,KOSPI,,435000,2500,0.58,431500,435500,429000,28226,12213115000,6548570910000,15054186
20210913,097955,CJ제일제당 우,KOSPI,,197500,-2000,-1.00,200000,201000,197500,7216,1433888000,262168017500,1327433
20210913,000590,CS홀딩스,KOSPI,,63100,200,0.32,63200,63200,62500,1877,117838400,72847814200,1154482
20210913,012030,DB,KOSPI,,1065,-25,-2.29,1090,1090,1050,1248119,1334655320,214250238645,201173933
20210913,016610,DB금융투자,KOSPI,,6800,-40,-0.58,6840,6860,6730,59580,403689370,288635445200,42446389
20210913,005830,DB손해보험,KOSPI,,61100,700,1.16,60400,62300,60400,129862,7985746900,4325880000000,70800000
20210913,000990,DB하이텍,KOSPI,,59000,-800,-1.34,59400,59900,58600,386785,22848638700,2619516692000,44398588
20210913,000995,DB하이텍1우,KOSPI,,108500,-1500,-1.36,103500,111500,103500,516,55248500,12186286000,112316
20210913,139130,DGB금융지주,KOSPI,,9330,100,1.08,9220,9350,9180,377391,3510954610,1578130621890,169145833
20210913,001530,DI동일,KOSPI,,344000,-10500,-2.96,354000,354000,336000,46400,15821128500,863665320000,2510655
20210913,000210,DL,KOSPI,,70700,-500,-0.70,71000,71600,70100,70576,4985989300,1481580998800,20955884
20210913,001880,DL건설,KOSPI,,31650,-550,-1.71,32200,32200,31500,24760,785874600,697986438600,22053284
20210913,000215,DL우,KOSPI,,43450,-150,-0.34,44100,44150,43250,1079,47002350,73261696750,1686115
20210913,375500,DL이앤씨,KOSPI,,138500,-3500,-2.46,141000,141500,137000,97008,13478909000,2681185213000,19358738
20210913,37550K,DL이앤씨우,KOSPI,,76200,-900,-1.17,77100,77500,76000,8166,623751300,161078037000,2113885
20210913,004840,DRB동일,KOSPI,,6500,10,0.15,6490,6530,6450,15080,97706110,129545000000,19930000
20210913,155660,DSR,KOSPI,,11850,0,0.00,12400,13200,11250,5380459,65694285100,189600000000,16000000
20210913,069730,DSR제강,KOSPI,,10300,470,4.78,10350,11300,9950,4680923,49262155520,148320000000,14400000
20210913,017940,E1,KOSPI,,63500,800,1.28,64300,67100,62800,240869,15629172500,435610000000,6860000
20210913,365550,ESR켄달스퀘어리츠,KOSPI,,6620,-30,-0.45,6740,6740,6580,177403,1175316490,948374580000,143259000
20210913,383220,F&F,KOSPI,,759000,-14000,-1.81,773000,789000,713000,113565,84712392000,5815013985000,7661415
20210913,007700,F&F홀딩스,KOSPI,,37550,-650,-1.70,38250,38400,37550,88043,3330230100,1468744480850,39114367
20210913,114090,GKL,KOSPI,,15850,-100,-0.63,15900,16050,15650,246317,3896836200,980412369500,61855670
20210913,078930,GS,KOSPI,,42000,50,0.12,41800,42200,41600,152248,6395310950,3902445876000,92915378
20210913,006360,GS건설,KOSPI,,44500,-500,-1.11,44700,45000,43650,511693,22631540950,3808376305000,85581490
20210913,001250,GS글로벌,KOSPI,,2660,-55,-2.03,2710,2715,2640,340100,905791450,219539812240,82533764
