BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20240830,095570,AJ네트웍스,KOSPI,,4625,80,1.76,4545,4630,4540,69019,318010645,209294010375,45252759
20240830,006840,AK홀딩스,KOSPI,,13500,60,0.45,13330,13640,13280,829,11117320,178842073500,13247561
20240830,027410,BGF,KOSPI,,3505,5,0.14,3505,3515,3490,26382,92240345,335487352455,95716791
20240830,282330,BGF리테일,KOSPI,,118000,2700,2.34,116100,118000,115000,47791,5597656000,2039500908000,17283906
20240830,138930,BNK금융지주,KOSPI,,10160,40,0.40,10120,10160,9910,1038679,10383580930,3272418530080,322088438
20240830,001460,BYC,KOSPI,,34300,250,0.73,34300,35050,34000,3005,103212900,214242945000,6246150
20240830,001465,BYC우,KOSPI,,13300,10,0.08,13290,13430,13060,2319,30856990,28646205000,2153850
20240830,001040,CJ,KOSPI,,111900,-200,-0.18,112900,113700,107000,129870,14587244000,3264906076200,29176998
20240830,079160,CJ CGV,KOSPI,,7170,30,0.42,7220,7430,7130,1506834,10932679630,1187206721460,165579738
20240830,00104K,CJ4우(전환),KOSPI,,84800,-1200,-1.40,86100,86400,84500,14326,1216990600,358408217600,4226512
20240830,000120,CJ대한통운,KOSPI,,94300,900,0.96,94300,96000,93600,84169,7992158300,2151204039200,22812344
20240830,011150,CJ씨푸드,KOSPI,,3390,60,1.80,3330,3400,3330,191661,645075350,121805320470,35930773
20240830,011155,CJ씨푸드1우,KOSPI,,18780,-30,-0.16,18800,18860,18710,159,2988240,3756000000,200000
20240830,001045,CJ우,KOSPI,,58600,200,0.34,58500,59200,58200,2320,136040300,132449067800,2260223
20240830,097950,CJ제일제당,KOSPI,,322000,2500,0.78,321500,326500,320000,42591,13753452000,4847447892000,15054186
20240830,097955,CJ제일제당 우,KOSPI,,139400,1400,1.01,137500,140700,137500,1835,256064300,185044160200,1327433
20240830,000480,CR홀딩스,KOSPI,,5870,40,0.69,5780,5870,5780,4600,26874660,275247176300,46890490
20240830,000590,CS홀딩스,KOSPI,,67500,800,1.20,66800,67500,66600,1039,69710400,77927535000,1154482
20240830,012030,DB,KOSPI,,1265,45,3.69,1220,1272,1215,741031,924350656,254485025245,201173933
20240830,016610,DB금융투자,KOSPI,,4725,45,0.96,4645,4750,4620,49719,233790330,200559188025,42446389
20240830,005830,DB손해보험,KOSPI,,116000,-1500,-1.28,119900,120300,115700,161266,18785270300,8212800000000,70800000
20240830,000990,DB하이텍,KOSPI,,40750,-100,-0.24,41300,41350,40600,227334,9296886900,1809242461000,44398588
20240830,139130,DGB금융지주,KOSPI,,8380,100,1.21,8360,8400,8250,544055,4545816410,1417442080540,169145833
20240830,001530,DI동일,KOSPI,,31300,750,2.45,30400,31300,30400,118628,3679936050,789250533600,25215672
20240830,000210,DL,KOSPI,,46100,-500,-1.07,46350,46900,45800,33852,1562676250,966066252400,20955884
20240830,000215,DL우,KOSPI,,24750,100,0.41,24850,25350,24650,3074,76751100,41731346250,1686115
20240830,375500,DL이앤씨,KOSPI,,33000,900,2.80,32200,33100,31650,165298,5385140900,1276889559000,38693623
20240830,37550L,DL이앤씨2우(전환),KOSPI,,22350,300,1.36,22550,22550,22050,296,6551950,47202104850,2111951
20240830,37550K,DL이앤씨우,KOSPI,,16840,130,0.78,16900,16900,16560,5109,85676180,35597823400,2113885
20240830,007340,DN오토모티브,KOSPI,,89100,-200,-0.22,88300,89300,88300,6882,610342800,890465845500,9994005
20240830,004840,DRB동일,KOSPI,,4865,20,0.41,4800,4880,4785,7725,37299805,96959450000,19930000
20240830,155660,DSR,KOSPI,,4015,5,0.12,4010,4015,3980,6368,25480060,64240000000,16000000
20240830,069730,DSR제강,KOSPI,,4000,-110,-2.68,4105,4135,3975,26975,108841030,57600000000,14400000
20240830,017860,DS단석,KOSPI,,75100,-900,-1.18,76500,78400,73700,133072,10139798400,440191440400,5861404
20240830,017940,E1,KOSPI,,74900,-1500,-1.96,76800,76800,74800,9303,700285100,513814000000,6860000
20240830,365550,ESR켄달스퀘어리츠,KOSPI,,5140,130,2.59,5050,5140,5000,270626,1379636250,1095277460000,213089000
20240830,383220,F&F,KOSPI,,58600,600,1.03,58000,58800,57000,46001,2679729100,2244794595000,38307075
20240830,007700,F&F홀딩스,KOSPI,,13740,70,0.51,13690,13770,13600,5627,76982760,537431402580,39114367
20240830,114090,GKL,KOSPI,,11180,130,1.18,11100,11180,11040,98657,1097293030,691546390600,61855670
20240830,078930,GS,KOSPI,,45150,-1000,-2.17,46600,46600,45150,193747,8810703700,4195129316700,92915378
