BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20220118,095570,AJ네트웍스,KOSPI,,5050,30,0.60,5070,5070,4990,47679,239314445,236452589750,46822295
20220118,006840,AK홀딩스,KOSPI,,18700,-400,-2.09,19150,19450,18550,18948,356149700,247729390700,13247561
20220118,027410,BGF,KOSPI,,5000,-50,-0.99,5030,5070,4990,125712,630880000,478583955000,95716791
20220118,282330,BGF리테일,KOSPI,,149000,-2000,-1.32,151500,151500,148000,18931,2830342000,2575301994000,17283906
20220118,138930,BNK금융지주,KOSPI,,8590,10,0.12,8580,8630,8520,854823,7322560800,2799783763140,325935246
20220118,001460,BYC,KOSPI,,501000,-4000,-0.79,510000,510000,498000,373,188005500,312932115000,624615
20220118,001465,BYC우,KOSPI,,191500,-3500,-1.79,193000,193000,191000,30,5754500,41246227500,215385
20220118,001040,CJ,KOSPI,,80000,300,0.38,80300,80800,79400,56886,4550822200,2334159840000,29176998
20220118,079160,CJ CGV,KOSPI,,23800,-250,-1.04,24300,24600,23700,98123,2363295300,971199745600,40806712
20220118,00104K,CJ4우(전환),KOSPI,,70200,0,0.00,70200,70200,69100,3434,239463200,296701142400,4226512
20220118,000120,CJ대한통운,KOSPI,,121500,-2000,-1.62,124000,124000,121000,31556,3858313000,2771699796000,22812344
20220118,011150,CJ씨푸드,KOSPI,,3740,-90,-2.35,3850,3875,3685,145131,550893715,134381091020,35930773
20220118,011155,CJ씨푸드1우,KOSPI,,37400,0,0.00,37500,37500,37000,32,1196950,7480000000,200000
20220118,001045,CJ우,KOSPI,,48800,-100,-0.20,48550,49200,48550,1418,69059700,110298882400,2260223
20220118,097950,CJ제일제당,KOSPI,,372500,-5500,-1.46,379000,381000,371000,23499,8792917500,5607684285000,15054186
20220118,097955,CJ제일제당 우,KOSPI,,168000,-2500,-1.47,170500,170500,168000,2166,365608500,223008744000,1327433
20220118,000590,CS홀딩스,KOSPI,,63100,-300,-0.47,63000,64400,62500,2086,131934800,72847814200,1154482
20220118,012030,DB,KOSPI,,924,-13,-1.39,937,944,921,438576,407785668,185884714092,201173933
20220118,016610,DB금융투자,KOSPI,,6630,-70,-1.04,6690,6740,6590,155655,1031098320,281419559070,42446389
20220118,005830,DB손해보험,KOSPI,,64600,100,0.16,64600,65600,63700,119792,7734859800,4573680000000,70800000
20220118,000990,DB하이텍,KOSPI,,83900,300,0.36,84100,84800,82100,604697,50600487100,3725041533200,44398588
20220118,000995,DB하이텍1우,KOSPI,,99900,0,0.00,101000,101000,99200,531,52923200,11220368400,112316
20220118,139130,DGB금융지주,KOSPI,,9590,-50,-0.52,9650,9740,9540,362593,3498220520,1622108538470,169145833
20220118,001530,DI동일,KOSPI,,255000,-6000,-2.30,258000,263500,253000,7932,2036474500,640217025000,2510655
20220118,000210,DL,KOSPI,,62400,-2200,-3.41,64200,64800,62300,45714,2886155000,1307647161600,20955884
20220118,001880,DL건설,KOSPI,,27850,-1650,-5.59,28850,30000,27750,112118,3172896300,614183959400,22053284
20220118,000215,DL우,KOSPI,,37050,-550,-1.46,37200,37850,36900,1497,55578400,62470560750,1686115
20220118,375500,DL이앤씨,KOSPI,,122500,-3500,-2.78,126500,127000,119000,207953,25338802000,2371445405000,19358738
20220118,37550K,DL이앤씨우,KOSPI,,69000,-300,-0.43,70000,70000,67600,8054,552147300,145858065000,2113885
20220118,004840,DRB동일,KOSPI,,5180,-10,-0.19,5250,5250,5120,4902,25361710,103237400000,19930000
20220118,155660,DSR,KOSPI,,5480,-60,-1.08,5540,5630,5450,61559,339288410,87680000000,16000000
20220118,069730,DSR제강,KOSPI,,4560,-150,-3.18,4710,4775,4560,79038,367660460,65664000000,14400000
20220118,017940,E1,KOSPI,,47050,50,0.11,47600,47700,46850,7437,351446900,322763000000,6860000
20220118,365550,ESR켄달스퀘어리츠,KOSPI,,6200,-10,-0.16,6180,6210,6170,121036,749143640,1321151800000,213089000
20220118,383220,F&F,KOSPI,,885000,7000,0.80,887000,906000,879000,22130,19782712000,6780352275000,7661415
20220118,007700,F&F홀딩스,KOSPI,,29600,-550,-1.82,30150,30850,29300,54574,1634528750,1157785263200,39114367
20220118,114090,GKL,KOSPI,,13300,-200,-1.48,13500,13700,13200,176138,2363740800,822680411000,61855670
20220118,078930,GS,KOSPI,,39200,50,0.13,39300,39400,38900,156508,6119487800,3642282817600,92915378
20220118,006360,GS건설,KOSPI,,40400,-2400,-5.61,42950,43050,39500,2004702,80697763300,3457492196000,85581490
20220118,001250,GS글로벌,KOSPI,,2220,-50,-2.20,2260,2290,2195,413616,920424635,183224956080,82533764
20220118,007070,GS리테일,KOSPI,,28600,-350,-1.21,28850,29100,28500,147542,4243574650,2994932569200,104717922
20220118,078935,GS우,KOSPI,,33850,-150,-0.44,34200,34200,33700,2250,76108250,60416360100,1784826
20220118,012630,HDC,KOSPI,,7390,-690,-8.54,7950,7980,7340,1799819,13677750180,441491318190,59741721
20220118,039570,HDC랩스,KOSPI,,8540,-790,-8.47,9110,9290,8420,236634,2070041510,221677912540,25957601
20220118,089470,HDC현대EP,KOSPI,,4985,-255,-4.87,5200,5240,4960,295046,1486139365,159021500000,31900000
20220118,294870,HDC현대산업개발,KOSPI,,16100,-2650,-14.13,18150,18300,16000,6945306,117447386150,1061108013000,65907330
20220118,097230,HJ중공업,KOSPI,,7870,-40,-0.51,7910,7920,7690,12571,97935430,655368591470,83274281
20220118,011200,HMM,KOSPI,,24700,-350,-1.40,25050,25300,24600,1536216,38173874050,12079275551200,489039496
