BAS_DD,ISU_CD,ISU_NM,MKT_NM,SECT_TP_NM,TDD_CLSPRC,CMPPREVDD_PRC,FLUC_RT,TDD_OPNPRC,TDD_HGPRC,TDD_LWPRC,ACC_TRDVOL,ACC_TRDVAL,MKTCAP,LIST_SHRS
20250711,095570,AJ네트웍스,KOSPI,,4430,-140,-3.06,4530,4565,4420,458046,2042945373,200469722370,45252759
20250711,006840,AK홀딩스,KOSPI,,12820,90,0.71,12730,12940,12730,8793,112553875,169833732020,13247561
20250711,027410,BGF,KOSPI,,4525,-65,-1.42,4590,4590,4475,241240,1089671404,433118479275,95716791
20250711,282330,BGF리테일,KOSPI,,120600,-3200,-2.58,122700,123200,118500,78283,9368447850,2084439063600,17283906
20250711,138930,BNK금융지주,KOSPI,,15310,230,1.53,15190,15490,14930,2773942,42240175735,4874451675890,318383519
20250711,001460,BYC,KOSPI,,42500,100,0.24,42400,44700,42400,20216,871360550,265461375000,6246150
20250711,001465,BYC우,KOSPI,,26150,550,2.15,25750,26350,25600,19617,509717800,56323177500,2153850
20250711,001040,CJ,KOSPI,,159000,-4900,-2.99,162900,163300,158500,145107,23224390650,4639142682000,29176998
20250711,079160,CJ CGV,KOSPI,,5260,-150,-2.77,5400,5440,5250,209252,1114363255,870953440520,165580502
20250711,00104K,CJ4우(전환),KOSPI,,131600,-2300,-1.72,133800,135600,131300,10813,1440815000,556208979200,4226512
20250711,000120,CJ대한통운,KOSPI,,94000,1200,1.29,92900,95300,92600,101464,9545051050,2144360336000,22812344
20250711,011150,CJ씨푸드,KOSPI,,3015,-10,-0.33,3040,3045,3010,206163,623632157,108331280595,35930773
20250711,011155,CJ씨푸드1우,KOSPI,,17650,-260,-1.45,17840,17840,17520,1887,33234100,3530000000,200000
20250711,001045,CJ우,KOSPI,,87200,-1700,-1.91,88800,90700,86600,6973,613673700,197091445600,2260223
20250711,097950,CJ제일제당,KOSPI,,259000,1000,0.39,258500,261500,257500,34351,8895598250,3899034174000,15054186
20250711,097955,CJ제일제당 우,KOSPI,,150900,300,0.20,151000,152000,149700,7082,1063988850,200309639700,1327433
20250711,000480,CR홀딩스,KOSPI,,5610,-30,-0.53,5640,5670,5600,32412,182528810,263055648900,46890490
20250711,000590,CS홀딩스,KOSPI,,95800,-500,-0.52,98500,98500,93900,1147,109545500,110599375600,1154482
20250711,012030,DB,KOSPI,,1500,-13,-0.86,1513,1534,1499,330354,498737903,301760899500,201173933
20250711,005830,DB손해보험,KOSPI,,138800,2100,1.54,137800,142900,137600,335449,46775604400,9827040000000,70800000
20250711,016610,DB증권,KOSPI,,10030,170,1.72,9950,10110,9840,361888,3614821495,425737281670,42446389
20250711,000990,DB하이텍,KOSPI,,46050,-150,-0.32,46500,47100,46000,219042,10137150025,2044554977400,44398588
20250711,000300,DH오토넥스,KOSPI,,1984,0,0.00,0,0,0,0,0,162944308992,82129188
20250711,001530,DI동일,KOSPI,,42450,0,0.00,42450,42750,42000,58548,2486480025,836925819150,19715567
20250711,015590,DKME,KOSPI,,515,0,0.00,0,0,0,0,0,122045495160,236981544
20250711,000210,DL,KOSPI,,51500,-700,-1.34,53000,54400,51400,155027,8145303850,1079228026000,20955884
20250711,000215,DL우,KOSPI,,26450,50,0.19,26350,26800,24450,19335,507983600,44597741750,1686115
20250711,375500,DL이앤씨,KOSPI,,49500,250,0.51,49350,50300,49100,291227,14442217275,1915334338500,38693623
20250711,37550L,DL이앤씨2우(전환),KOSPI,,34000,-200,-0.58,34350,34650,33850,2718,92647050,71806334000,2111951
20250711,37550K,DL이앤씨우,KOSPI,,23650,850,3.73,22900,24200,22550,26675,621322175,49993380250,2113885
20250711,007340,DN오토모티브,KOSPI,,26900,750,2.87,26300,26950,26300,109554,2918767625,1573942268500,58510865
20250711,004840,DRB동일,KOSPI,,5540,90,1.65,5460,5570,5460,13893,76431920,110412200000,19930000
20250711,155660,DSR,KOSPI,,4140,30,0.73,4110,4145,4100,13250,54561959,66240000000,16000000
20250711,069730,DSR제강,KOSPI,,3775,20,0.53,3755,3830,3755,10387,39356905,54360000000,14400000
20250711,017860,DS단석,KOSPI,,27650,300,1.10,27600,28300,27500,154554,4305113300,486203461800,17584212
20250711,092780,DYP,KOSPI,,4515,-5,-0.11,4530,4555,4465,8903,40114275,59455596900,13168460
20250711,017940,E1,KOSPI,,98300,1200,1.24,97100,100000,96400,20478,2024225050,674338000000,6860000
